Time,Open,High,Low,Close,Volume
01/01/2013,1674.603,1674.603,1670.152,1670.819,59
02/01/2013,1670.796,1694.873,1670.352,1687.252,1378
03/01/2013,1687.252,1689.952,1660.752,1660.887,1379
04/01/2013,1661.052,1662.152,1625.759,1655.463,1319
06/01/2013,1655.943,1659.052,1655.553,1656.752,59
07/01/2013,1656.752,1662.493,1642.752,1649.853,1377
08/01/2013,1649.853,1662.552,1646.817,1661.152,1380
09/01/2013,1661.152,1665.852,1651.352,1656.164,1377
10/01/2013,1656.142,1678.773,1653.753,1673.759,1377
11/01/2013,1673.537,1676.852,1653.112,1662.513,1316
13/01/2013,1662.123,1662.763,1659.952,1660.703,60
14/01/2013,1660.752,1674.853,1660.683,1667.803,1377
15/01/2013,1667.803,1685.166,1666.363,1680.961,1380
16/01/2013,1680.931,1684.797,1673.363,1680.454,1378
17/01/2013,1680.552,1696.657,1666.697,1687.352,1380
18/01/2013,1687.324,1695.214,1683.552,1684.03,1317
20/01/2013,1685.933,1689.473,1684.852,1688.476,60
21/01/2013,1688.512,1691.26,1685.824,1689.552,1081
22/01/2013,1689.552,1696.052,1686.752,1692.652,1380
23/01/2013,1692.652,1695.047,1683.653,1684.874,1381
24/01/2013,1684.895,1685.652,1664.902,1667.693,1381
25/01/2013,1667.713,1672.31,1655.852,1658.523,1318
27/01/2013,1658.833,1660.453,1658.173,1659.403,60
28/01/2013,1659.363,1662.329,1651.927,1657.084,1381
29/01/2013,1657.043,1666.125,1656.716,1664.152,1377
30/01/2013,1664.152,1683.852,1662.73,1676.752,1378
31/01/2013,1676.752,1680.738,1657.852,1662.933,1381
01/02/2013,1662.913,1682.07,1659.958,1667.183,1285
03/02/2013,1668.452,1668.863,1665.352,1667.023,58
04/02/2013,1667.003,1677.652,1661.552,1674.252,1377
05/02/2013,1674.252,1685.344,1666.603,1674.763,1381
06/02/2013,1674.763,1679.752,1668.223,1678.453,1381
07/02/2013,1678.453,1683.152,1662.921,1671.152,1380
08/02/2013,1671.106,1673.623,1664.965,1666.883,1300
10/02/2013,1667.313,1668.252,1666.06,1666.41,60
11/02/2013,1666.372,1669.552,1643.712,1648.452,1380
12/02/2013,1648.652,1653.352,1639.16,1651.553,1381
13/02/2013,1651.553,1653.47,1640.352,1644.389,1381
14/02/2013,1644.347,1649.993,1632.792,1635.153,1380
15/02/2013,1635.174,1635.952,1597.822,1609.855,1320
17/02/2013,1609.533,1613.052,1609.213,1612.852,44
18/02/2013,1612.852,1618.764,1607.052,1614.07,1153
19/02/2013,1614.125,1615.176,1600.627,1605.103,1379
20/02/2013,1605.067,1609.452,1558.593,1570.433,1381
21/02/2013,1570.403,1584.953,1554.948,1578.552,1378
22/02/2013,1578.552,1587.199,1569.853,1581.13,1318
24/02/2013,1580.173,1580.952,1577.952,1578.543,60
25/02/2013,1578.525,1596.952,1575.152,1594.852,1378
26/02/2013,1594.774,1620.063,1584.347,1613.358,1381
27/02/2013,1613.352,1614.771,1592.319,1597.081,1381
28/02/2013,1597.064,1602.923,1574.852,1580.973,1381
01/03/2013,1580.787,1587.252,1564.727,1576.03,1317
03/03/2013,1578.533,1581.656,1578.373,1579.292,60
04/03/2013,1579.275,1584.828,1569.4,1575.189,1380
05/03/2013,1575.252,1586.445,1571.848,1577.323,1381
06/03/2013,1577.24,1585.152,1567.25,1582.205,1381
07/03/2013,1582.107,1585.452,1574.952,1579.752,1379
08/03/2013,1579.752,1583.678,1561.39,1578.623,1315
